"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std"
"1",2,0,1,1,1,0,1,"hist",1,0.3191518,0.000315643089597077,0.3191908,0.00124157551522482
"2",2,0,1,1,1,0,1,"hist",2,0.2990382,0.000319166038303163,0.2990936,0.00103191910536502
"3",2,0,1,1,1,0,1,"hist",3,0.2922642,0.00031931890014496,0.2923152,0.0010725803279869
"4",2,0,1,1,1,0,1,"hist",4,0.2851796,0.00030688668920394,0.28523,0.00100866466181365
"5",2,0,1,1,1,0,1,"hist",5,0.2799622,0.000139257172125517,0.2800704,0.00121443626427982
"6",2,0,1,1,1,0,1,"hist",6,0.2787602,0.000179290155890862,0.278877,0.00120640059681668
"7",2,0,1,1,1,0,1,"hist",7,0.274618,0.000178020223563432,0.274704,0.00116160182506658
"8",2,0,1,1,1,0,1,"hist",8,0.2717442,0.000360853100317968,0.271826,0.00124181125779803
"9",2,0,1,1,1,0,1,"hist",9,0.2686038,0.000591881542203424,0.2686638,0.000991234059135578
"10",2,0,1,1,1,0,1,"hist",10,0.2677026,0.00116664657887194,0.2678192,0.00127979473354925
"11",2,0,1,1,1,0,1,"hist",11,0.2660238,0.00126868300217979,0.2661082,0.000912978291084753
"12",2,0,1,1,1,0,1,"hist",12,0.2641312,0.000800767981368516,0.2643194,0.00137303060417797
"13",2,0,1,1,1,0,1,"hist",13,0.262964,0.000649839672540813,0.2631352,0.00126538617030022
"14",2,0,1,1,1,0,1,"hist",14,0.2617724,0.000840208926390631,0.2619886,0.00134122594665494
"15",2,0,1,1,1,0,1,"hist",15,0.2604008,0.000805604220448829,0.2605664,0.00166080048169262
"16",2,0,1,1,1,0,1,"hist",16,0.259285,0.000813629645482127,0.2594922,0.00178804870179538
"17",2,0,1,1,1,0,1,"hist",17,0.2581838,0.000785271774611841,0.2584658,0.00177712423876323
"18",2,0,1,1,1,0,1,"hist",18,0.2571912,0.00089505405422561,0.257472,0.00179608396240417
