"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","alpha","lamda","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std","model"
"1",12,0.2,1,1,1,4,1,"hist",0,0,1,0.2493484,0.000718408964310772,0.2539084,0.000364277147249057,1
"2",12,0.2,1,1,1,4,1,"hist",0,0,2,0.2225658,0.000871689027118038,0.2304446,0.000424503286202757,1
"3",12,0.2,1,1,1,4,1,"hist",0,0,3,0.2134244,0.00190806882475744,0.2226436,0.00147544171013237,1
"4",12,0.2,1,1,1,4,1,"hist",0,0,4,0.2069786,0.00279957943984276,0.2174074,0.00242216841693581,1
"5",12,0.2,1,1,1,4,1,"hist",0,0,5,0.200581,0.000984974111333836,0.212932,0.000887196483308143,1
"6",12,0.2,1,1,1,4,1,"hist",0,0,6,0.1962822,0.00249574665380904,0.2093898,0.0019883313003604,1
"7",12,0.2,1,1,1,4,1,"hist",0,0,7,0.1917386,0.00197492456564635,0.205434,0.00167171672241502,1
"8",12,0.2,1,1,1,4,1,"hist",0,0,8,0.187202,0.00236495327649404,0.2022564,0.00204558574496373,1
"9",12,0.2,1,1,1,4,1,"hist",0,0,9,0.1827944,0.00327496232650056,0.1984046,0.00293829383145977,1
"10",12,0.2,1,1,1,4,1,"hist",0,0,10,0.179599,0.00400519063216841,0.1961042,0.00345962930962174,1
"11",12,0.2,1,1,1,4,1,"hist",0,0,11,0.176407,0.00347787653604891,0.1938868,0.0036349834332494,1
"12",12,0.2,1,1,1,4,1,"hist",0,0,12,0.1719152,0.00425540077548523,0.190578,0.00359344096932146,1
"13",12,0.2,1,1,1,4,1,"hist",0,0,13,0.168367,0.00623868011681916,0.1880518,0.00490821036223981,1
"14",12,0.2,1,1,1,4,1,"hist",0,0,14,0.1633892,0.00546956277594458,0.1844432,0.00329423171012653,1
"15",12,0.2,1,1,1,4,1,"hist",0,0,15,0.160379,0.00554895539718995,0.1823676,0.00329733144224284,1
"16",12,0.2,1,1,1,4,1,"hist",0,0,16,0.1573534,0.00573401243807504,0.1801374,0.00351559767891565,1
"17",12,0.2,1,1,1,4,1,"hist",0,0,17,0.1550924,0.0061945872372582,0.1786122,0.00387588608707682,1
"18",12,0.2,1,1,1,4,1,"hist",0,0,18,0.1519424,0.00574487004552752,0.1766452,0.00338718209726002,1
"19",12,0.2,1,1,1,4,1,"hist",0,0,19,0.148696,0.00552228293371486,0.1748432,0.002927300831824,1
"20",12,0.2,1,1,1,4,1,"hist",0,0,20,0.1460892,0.00522335468449148,0.1734004,0.0021072615974274,1
